BIL,NEGERI,MUKIM/DAERAH,Nama,LATITUD,LONGITUD,,,,
76,Terengganu,Kuala Terengganu,Pulau Tuan Ngah,5.334361111,103.11875,,,,
77,Terengganu,Kuala Terengganu,Pulau Ungku Aziz,5.318166667,103.0980417,,,,
78,Johor,Mersing,Pulau Babi Besar,2.441636111,103.9830389,,,,
79,Johor,Mersing,Pulau Babi Tengah,2.478355556,103.9612889,,,,
80,Johor,Mersing,Pulau Babi Hujong,2.493341667,103.952125,,,,
81,Johor,Mersing,Pulau Gual,2.535838889,103.9696694,,,,
82,Johor,Mersing,Pulau Mensirip,2.550597222,103.9598417,,,,
83,Johor,Mersing,Pulau Harimau,2.561122222,103.9454528,,,,
84,Johor,Mersing,Pulau Setindan,2.48035,103.8471306,,,,
85,Johor,Mersing,Pulau Batu Gajah,2.492202778,103.8558389,,,,
86,Johor,Mersing,Pulau Aur,2.449813889,104.5215472,,,,
87,Johor,Mersing,Pulau Pinang,2.436858333,104.5495583,,,,
88,Johor,Mersing,Pulau Lang,2.459038889,104.4892056,,,,
89,Johor,Mersing,Pulau Dayang,2.476502778,104.5023222,,,,
90,Johor,Mersing,Pulau Pemanggil,2.582527778,104.3273611,,,,
91,Johor,Mersing,Pulau Tinggi,2.302972222,104.1182833,,,,
92,Johor,Mersing,Pulau Apil,2.279661111,104.1253306,,,,
93,Johor,Mersing,Pulau Mentigi,2.272775,104.1171,,,,
94,Johor,Mersing,Pulau Nangka Besar,2.270291667,104.127675,,,,
95,Johor,Mersing,Pulau Nangka Kechil,2.271944444,104.1225694,,,,
96,Johor,Mersing,Pulau Simbang,2.26615,104.1514361,,,,
97,Johor,Mersing,Pulau Lanting,2.272666667,104.1535833,,,,
98,Johor,Mersing,Pulau Ibol,2.306219444,104.1490111,,,,
99,Johor,Mersing,Pulau Penyembang,2.305686111,104.1439806,,,,
100,Johor,Mersing,Pulau Perigi Cina,2.640138889,103.7444611,,,,
101,Johor,Mersing,Pulau Lalang,2.651827778,103.7129278,,,,
102,Johor,Mersing,Pulau Sibu,2.225697222,104.0640083,,,,
103,Johor,Mersing,Pulau Sibu Tengah,2.187816667,104.1010333,,,,
104,Johor,Mersing,Pulau Sibu Kukus,2.181513889,104.1105278,,,,
105,Johor,Mersing,Pulau Sibu Hujong,2.173394444,104.1140972,,,,
106,Johor,Mersing,Pulau Papan,2.189727778,104.0950139,,,,
107,Johor,Mersing,Pulau Tokong Sanggol,2.224769444,104.1351778,,,,
108,Johor,Mersing,Pulau Lima Kecil,2.224088889,104.1476528,,,,
109,Johor,Mersing,Pulau Lima Besar,2.219691667,104.1507833,,,,
110,Johor,Mersing,Pulau Tokong Raket,2.217169444,104.1603694,,,,
